"","h_country","h_rank","h_score","gdp_capita","life_exp","freedom","h_year","country"
"123","Sierra Leone",123,4.507,0.33024,0,0.4084,2015,"Sierra Leone"
"124","Mauritania",124,4.436,0.45407,0.35874,0.24232,2015,"Mauritania"
"125","Kenya",125,4.419,0.36471,0.41435,0.42215,2015,"Kenya"
"126","Djibouti",126,4.369,0.44025,0.36291,0.46074,2015,"Djibouti"
"127","Armenia",127,4.35,0.76821,0.7299,0.19847,2015,"Armenia"
"128","Botswana",128,4.332,0.99355,0.04776,0.49495,2015,"Botswana"
"129","Myanmar",129,4.307,0.27108,0.48246,0.44017,2015,"Myanmar"
"130","Georgia",130,4.297,0.7419,0.72926,0.40577,2015,"Georgia"
"131","Malawi",131,4.292,0.01604,0.22562,0.43054,2015,"Malawi"
"132","Sri Lanka",132,4.271,0.83524,0.70806,0.53726,2015,"Sri Lanka"
"133","Cameroon",133,4.252,0.4225,0.23402,0.49309,2015,"Cameroon"
"134","Bulgaria",134,4.218,1.01216,0.76649,0.30587,2015,"Bulgaria"
"135","Egypt",135,4.194,0.8818,0.61712,0.17288,2015,"Egypt"
"136","Yemen",136,4.077,0.54649,0.40064,0.35571,2015,"Yemen"
"137","Angola",137,4.033,0.75778,0.16683,0.10384,2015,"Angola"
"138","Mali",138,3.995,0.26074,0.20583,0.38857,2015,"Mali"
"139","Congo (Brazzaville)",139,3.989,0.67866,0.31051,0.41466,2015,"Congo (Brazzaville)"
"140","Comoros",140,3.956,0.23906,0.36315,0.22917,2015,"Comoros"
"141","Uganda",141,3.931,0.21102,0.33861,0.45727,2015,"Uganda"
"142","Senegal",142,3.904,0.36498,0.4354,0.36772,2015,"Senegal"
"143","Gabon",143,3.896,1.06024,0.43372,0.31914,2015,"Gabon"
"144","Niger",144,3.845,0.0694,0.29707,0.47692,2015,"Niger"
"145","Cambodia",145,3.819,0.46038,0.61114,0.66246,2015,"Cambodia"
"146","Tanzania",146,3.781,0.2852,0.38215,0.32878,2015,"Tanzania"
"147","Madagascar",147,3.681,0.20824,0.46721,0.19184,2015,"Madagascar"
"148","Central African Republic",148,3.678,0.0785,0.06699,0.48879,2015,"Central African Republic"
"149","Chad",149,3.667,0.34193,0.1501,0.23501,2015,"Chad"
"150","Guinea",150,3.656,0.17417,0.24009,0.37725,2015,"Guinea"
"151","Ivory Coast",151,3.655,0.46534,0.15185,0.46866,2015,"Ivory Coast"
"152","Burkina Faso",152,3.587,0.25812,0.27125,0.39493,2015,"Burkina Faso"
"153","Afghanistan",153,3.575,0.31982,0.30335,0.23414,2015,"Afghanistan"
"154","Rwanda",154,3.465,0.22208,0.42864,0.59201,2015,"Rwanda"
"155","Benin",155,3.34,0.28665,0.3191,0.4845,2015,"Benin"
"156","Syria",156,3.006,0.6632,0.72193,0.15684,2015,"Syria"
"157","Burundi",157,2.905,0.0153,0.22396,0.1185,2015,"Burundi"
"158","Togo",158,2.839,0.20868,0.28443,0.36453,2015,"Togo"
